Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Lonchura striata domestica,Bengalese finch,Lonchura_striata_domestica__Bengalese_finch__HLlonStr2__GCA_005870125.1,GCA_005870125.1,Chromosome,100423,71975342,
Lontra canadensis,Northern American river otter,Lontra_canadensis__Northern_American_river_otter__HLlonCan1__GCA_010015895.1,GCA_010015895.1,Scaffold,691969,18460785,14742.0
Lophiomys imhausi,crested rat,Lophiomys_imhausi__crested_rat__HLlopImh1__GCA_907164525.1,GCA_907164525.1,Scaffold,35791,6438253,13501.0
Lophocebus aterrimus,Black crested mangabey,Lophocebus_aterrimus__Black_crested_mangabey__HLlopAte1__GCA_023783235.1,GCA_023783235.1,Contig,6802059,6802059,13806.0
Lophodytes cucullatus,Hooded merganser,Lophodytes_cucullatus__Hooded_merganser__HLlopCucu1__GCA_049176295.1,GCA_049176295.1,Scaffold,34452,75505413,
Lophophanes cristatus,Crested tit,Lophophanes_cristatus__Crested_tit__HLlopCris1__GCA_045783515.1,GCA_045783515.1,Scaffold,164906,18951753,
Lophostoma evote,Davis round-eared bat,Lophostoma_evote__Davis_round-eared_bat__HLlopEvot1A__GCA_051307075.1,GCA_051307075.1,Chromosome,53008647,175755209,14791.0
Lophotis ruficrista,Red crested korhaan,Lophotis_ruficrista__Red_crested_korhaan__HLlopRuf1__GCA_013396455.1,GCA_013396455.1,Scaffold,57900,702395,
Lophura nycthemera,Silver pheasant,Lophura_nycthemera__Silver_pheasant__HLlopNyc1__GCA_021292215.1,GCA_021292215.1,Scaffold,6360312,6955689,
Lophura swinhoii,Swinhoes pheasant,Lophura_swinhoii__Swinhoes_pheasant__HLlopSwin1__GCA_030408155.1,GCA_030408155.1,Chromosome,11027439,61385513,
Loriculus galgulus,blue-crowned hanging parrot,Loriculus_galgulus__blue-crowned_hanging_parrot__HLlorGal1__GCA_046563285.1,GCA_046563285.1,,27690191,71382169,
Loris tardigradus,slender loris,Loris_tardigradus__slender_loris__HLlorTar1__GCA_023783135.1,GCA_023783135.1,Contig,7727436,7727436,13826.0
Lorius garrulus,chattering lory,Lorius_garrulus__chattering_lory__HLlorGar1__GCA_010014925.1,GCA_010014925.1,Scaffold,122760,5420790,
Loxia curvirostra,"Fichtenkreuzschnabel,red crossbill",Loxia_curvirostra__Fichtenkreuzschnabel__HLloxCur1__GCA_013398455.1,GCA_013398455.1,Scaffold,211346,3116274,
Loxia leucoptera,white-winged crossbill,Loxia_leucoptera__white-winged_crossbill__HLloxLeu1__GCA_013396895.1,GCA_013396895.1,Scaffold,96290,614047,
Loxodonta africana,African savanna elephant,Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1,GCA_030014295.1,Chromosome,82653632,119600562,15167.0
Loxops caeruleirostris,Akekee,Loxops_caeruleirostris__Akekee__HLloxCaer1__GCA_049724535.1,GCA_049724535.1,Scaffold,3773583,72176561,
Luscinia luscinia,Thrush nightingale,Luscinia_luscinia__Thrush_nightingale__HLlusLusc1__GCA_034336685.1,GCA_034336685.1,Chromosome,18695389,62437632,
Luscinia megarhynchos,Nightingale,Luscinia_megarhynchos__Nightingale__HLlusMega1__GCA_034336665.1,GCA_034336665.1,Chromosome,13437235,61211992,
Lutra lutra,Eurasian river otter,Lutra_lutra__Eurasian_river_otter__HLlutLut1__GCA_902655055.1,GCA_902655055.1,Chromosome,30403456,149004807,14533.0
Lycaon pictus,African hunting dog,Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1,GCA_040955705.1,Chromosome,39426608,64477381,15007.0
Lycocorax pyrrhopterus obiensis,Obi paradise crow,Lycocorax_pyrrhopterus_obiensis__Obi_paradise_crow__HLlycPyrObi2__GCA_014706295.1,GCA_014706295.1,Scaffold,7380351,74168823,
Lymnocryptes minimus,Jack snipe,Lymnocryptes_minimus__Jack_snipe__HLlymMini1__GCA_964304605.1,GCA_964304605.1,Chromosome,22004483,33033172,
Lynx canadensis,Canada lynx,Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2,GCF_007474595.2,Chromosome,7503561,147275701,13860.0
Lynx pardinus,Spanish lynx,Lynx_pardinus__Spanish_lynx__HLlynPar1__GCA_900661375.1,GCA_900661375.1,Scaffold,99542,1519745,13600.0
Lynx rufus,bobcat,Lynx_rufus__bobcat__HLlynRuf1__GCA_022079265.1,GCA_022079265.1,Scaffold,66217191,142134035,14954.0
Lyroderma lyra,Indian false vampire,Lyroderma_lyra__Indian_false_vampire__HLmegLyr2__GCA_004026885.1,GCA_004026885.1,Scaffold,71674,96489,14369.0
Lyrurus tetrix,Black grouse,Lyrurus_tetrix__Black_grouse__HLlyrTetr1__GCA_043882375.1,GCA_043882375.1,Scaffold,164437,69550540,
Macaca arctoides,stump-tailed macaque,Macaca_arctoides__stump-tailed_macaque__HLmacArc1__GCA_021188215.1,GCA_021188215.1,Scaffold,72158,2128367,14825.0
Macaca assamensis,Assam macaque,Macaca_assamensis__Assam_macaque__HLmacAss1__GCA_023783095.1,GCA_023783095.1,Contig,27348716,27348716,13479.0
Macaca cyclopis,Taiwan macaque,Macaca_cyclopis__Taiwan_macaque__HLmacCyc1__GCA_026956025.1,GCA_026956025.1,Chromosome,7139826,152979943,15074.0
Macaca fascicularis,Crab-eating macaque,Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1,GCF_037993035.1,Complete Genome,162126771,162126771,15135.0
Macaca fuscata,Japanese macaque,Macaca_fuscata__Japanese_macaque__HLmacFus1,DNA Zoo Consortium,,87996,149352196,14791.0
Macaca mulatta,Rhesus monkey,Macaca_mulatta__Rhesus_monkey__HLmacMula11__GCF_049350105.2,GCF_049350105.2,Complete Genome,162285572,162285572,15147.0
Macaca nemestrina,Pig-tailed macaque,Macaca_nemestrina__Pig-tailed_macaque__HLmacNeme2A__GCF_043159975.1,GCF_043159975.1,Chromosome,40835442,154799650,14867.0
Macaca nigra,Celebes crested macaque,Macaca_nigra__Celebes_crested_macaque__HLmacNir1__GCA_928851695.1,GCA_928851695.1,Scaffold,60712129,60712129,12066.0
Macaca silenus,liontail macaque,Macaca_silenus__liontail_macaque__HLmacSil1__GCA_023807365.1,GCA_023807365.1,Contig,25691658,25691658,14872.0
Macaca thibetana thibetana,Pere Davids macaque,Macaca_thibetana_thibetana__Pere_Davids_macaque__HLmacThiThi1__GCF_024542745.1,GCF_024542745.1,Chromosome,48622411,150623419,14986.0
Machaerirhynchus nigripectus,Black breasted boatbill,Machaerirhynchus_nigripectus__Black_breasted_boatbill__HLmacNig1__GCA_013397975.1,GCA_013397975.1,Scaffold,76530,998129,
Macrochelys suwanniensis,Suwannee snapping turtle,Macrochelys_suwanniensis__Suwannee_snapping_turtle__HLmacSuwa1A__GCA_033296515.1,GCA_033296515.1,Chromosome,43882550,139680232,
Macroderma gigas,Australian ghost bat,Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1,GCA_055471755.1,Scaffold,37658598,100011104,14761.0
Macroglossus sobrinus,Long-tongued fruit bat,Macroglossus_sobrinus__Long-tongued_fruit_bat__HLmacSob1__GCA_004027375.1,GCA_004027375.1,Scaffold,338389,453401,14387.0
Macrotis lagotis,Bilby,Macrotis_lagotis__Bilby__HLmacLag1__GCF_037893015.1,GCF_037893015.1,Chromosome,1227456,343853051,
Macrotus californicus,California big-eared bat,Macrotus_californicus__California_big-eared_bat__HLmacCal1__GCA_007922815.1,GCA_007922815.1,Scaffold,16386,16925,12603.0
Madoqua kirkii,Kirks dik-dik,Madoqua_kirkii__Kirks_dik-dik__HLmadKir1__GCA_006408675.1,GCA_006408675.1,Scaffold,27722,27730,5922.0
Malaclemys terrapin centrata,Diamondback terrapin,Malaclemys_terrapin_centrata__Diamondback_terrapin__HLmalTerrCen2__GCA_037113585.1,GCA_037113585.1,Chromosome,63948927,143749486,
Malaclemys terrapin pileata,Diamondback terrapin,Malaclemys_terrapin_pileata__Diamondback_terrapin__HLmalTerrPil2A__GCF_027887155.1,GCF_027887155.1,Chromosome,75591180,144565223,
Malurus cyaneus samueli,Superb fairywren,Malurus_cyaneus_samueli__Superb_fairywren__HLmalCya1__GCA_009741485.1,GCA_009741485.1,Chromosome,210412,68113514,
Malurus elegans,Red-winged fairywren,Malurus_elegans__Red-winged_fairywren__HLmalEle1__GCA_013397995.1,GCA_013397995.1,Scaffold,74070,458136,
Manacus candei,White-collared manakin,Manacus_candei__White-collared_manakin__HLmanCan1__GCF_025592945.1,GCF_025592945.1,Contig,15991245,15991245,
Manacus vitellinus,golden-collared manakin,Manacus_vitellinus__golden-collared_manakin__HLmanVit1__GCA_001715985.3,GCA_001715985.3,Scaffold,290580,17883582,
Mandrillus leucophaeus,drill,Mandrillus_leucophaeus__drill__HLmanLeu2__GCA_023783495.1,GCA_023783495.1,Scaffold,149093,27319382,14892.0
Mandrillus sphinx,mandrill,Mandrillus_sphinx__mandrill__HLmanSph3__GCA_023783085.1,GCA_023783085.1,Contig,20999372,20999372,12448.0
Manis javanica,Malayan pangolin,Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1,GCF_040802235.1,Chromosome,61244301,141798549,14728.0
Manis pentadactyla,Chinese pangolin,Manis_pentadactyla__Chinese_pangolin__HLmanPen4__GCF_030020395.1,GCF_030020395.1,Chromosome,25547713,149551276,14708.0
Mareca falcata,Falcated duck,Mareca_falcata__Falcated_duck__HLmarFalc1__GCA_053567875.1,GCA_053567875.1,Chromosome,41080195,76775030,
Mareca strepera,Gadwall,Mareca_strepera__Gadwall__HLmarStre1A__GCA_965278785.1,GCA_965278785.1,Chromosome,2097805,66097916,
Marmota flaviventris,Yellow-bellied marmot,Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1,GCA_047512175.1,Chromosome,47537411,138730837,14446.0
Marmota himalayana,Himalayan marmot,Marmota_himalayana__Himalayan_marmot__HLmarHima2__GCA_056512325.1,GCA_056512325.1,Chromosome,107925267,163488075,15035.0
Marmota marmota marmota,Alpine marmot,Marmota_marmota_marmota__Alpine_marmot__HLmarMar1__GCA_001458135.1,GCA_001458135.1,Scaffold,66492,31340621,13629.0
Marmota monax,woodchuck,Marmota_monax__woodchuck__HLmarMon3__GCA_021218885.1,GCA_021218885.1,Scaffold,10671126,11523559,14994.0
Marmota vancouverensis,Vancouver marmot,Marmota_vancouverensis__Vancouver_marmot__HLmarVan1__GCA_005458795.1,GCA_005458795.1,Scaffold,11502,1590947,13087.0
Martes flavigula,Yellow-throated marten,Martes_flavigula__Yellow-throated_marten__HLmarFlav2__GCA_029410595.1,GCA_029410595.1,Chromosome,68603938,143113826,15042.0
Martes foina,Beach marten,Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1,GCA_964304585.1,Chromosome,64160893,146036623,15033.0
Martes martes,European pine marten,Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1,GCA_963455335.1,Chromosome,1599794,146289188,14966.0
Martes zibellina,sable,Martes_zibellina__sable__HLmarZib1__GCA_012583365.1,GCA_012583365.1,Scaffold,62196,5199373,14651.0
Mastacomys fuscus,broad-toothed rat,Mastacomys_fuscus__broad-toothed_rat__HLmasFus1,DNA Zoo Consortium,,371229,104439433,9441.0
Mastomys coucha,southern multimammate mouse,Mastomys_coucha__southern_multimammate_mouse__HLmasCou1__GCA_008632895.1,GCA_008632895.1,Chromosome,30483,118621203,14652.0
Mauremys mutica,Yellowpond turtle,Mauremys_mutica__Yellowpond_turtle__HLmauMuti1__GCF_020497125.1,GCF_020497125.1,Chromosome,15010728,135065811,
Mauremys reevesii,Reevess turtle,Mauremys_reevesii__Reevess_turtle__HLmauRee1__GCF_016161935.1,GCF_016161935.1,Chromosome,33352699,130473029,
Megaderma spasma,lesser false vampire bat,Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1,GCA_043880595.1,,25520250,120949103,14500.0
Megadyptes antipodes antipodes,Yellow-eyed penguin,Megadyptes_antipodes_antipodes__Yellow-eyed_penguin__HLmegAnt1__GCA_010078485.1,GCA_010078485.1,Scaffold,89505,23315117,
Megaptera novaeangliae,Humpback whale,Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1,GCA_041834305.1,Chromosome,36344089,107416641,14823.0
Melamprosops phaeosoma,Poouli,Melamprosops_phaeosoma__Poouli__HLmelPhae1__GCA_049724495.1,GCA_049724495.1,Scaffold,13224848,72985942,
Melanerpes aurifrons,Golden-fronted woodpecker,Melanerpes_aurifrons__Golden-fronted_woodpecker__HLmelAur1__GCA_011125475.1,GCA_011125475.1,Contig,16045987,16045987,
Melanerpes formicivorus,Acorn woodpecker,Melanerpes_formicivorus__Acorn_woodpecker__HLmelFor1__GCF_026170545.1,GCF_026170545.1,Scaffold,1471937,12675290,
Melanocharis versteri,Fan-tailed berrypecker,Melanocharis_versteri__Fan-tailed_berrypecker__HLmelVer1__GCA_013397845.1,GCA_013397845.1,Scaffold,103752,854663,
Meleagris gallopavo,turkey,Meleagris_gallopavo__turkey__HLmelGal6__GCA_905368555.1,GCA_905368555.1,Chromosome,26554504,70339173,
Meles meles,Eurasian badger,Meles_meles__Eurasian_badger__HLmeeMel1__GCA_922984935.1,GCA_922984935.1,Chromosome,75210923,132955750,14988.0
Melidectes torquatus,Ornate melidectes,Melidectes_torquatus__Ornate_melidectes__HLmelTorq1__GCA_965196965.1,GCA_965196965.1,Scaffold,13580513,71328442,
Mellivora capensis,ratel,Mellivora_capensis__ratel__HLmelCap1__GCA_004024625.1,GCA_004024625.1,Scaffold,50213,59143,14367.0
Melopsittacus undulatus,budgerigar,Melopsittacus_undulatus__budgerigar__HLmelUnd2__GCA_012275295.1,GCA_012275295.1,Chromosome,16636420,104092594,
Melospiza georgiana,swamp sparrow,Melospiza_georgiana__swamp_sparrow__HLmelGeo1__GCF_028018845.1,GCF_028018845.1,Chromosome,10446106,74254230,
Melospiza melodia,song sparrow,Melospiza_melodia__song_sparrow__HLmelMel1__GCA_013398205.1,GCA_013398205.1,Scaffold,181098,9239070,
Melospiza melodia melodia,Song sparrow,Melospiza_melodia_melodia__Song_sparrow__HLmelMeloMel2__GCF_035770615.1,GCF_035770615.1,Chromosome,19453098,77460261,
Melozone crissalis,California towhee,Melozone_crissalis__California_towhee__HLmelCri1__GCF_028551555.1,GCF_028551555.1,Contig,22266903,22266903,
Menura novaehollandiae,superb lyrebird,Menura_novaehollandiae__superb_lyrebird__HLmenNov1__GCA_013396355.1,GCA_013396355.1,Scaffold,85461,2360993,
Mephitis mephitis,Striped skunk,Mephitis_mephitis__Striped_skunk__HLmepMeph1__GCA_055769545.1,GCA_055769545.1,Scaffold,39934464,42172126,15041.0
Mergellus albellus,Smew,Mergellus_albellus__Smew__HLmerAlbe1__GCA_051254355.1,GCA_051254355.1,Scaffold,9076,38391571,
Mergus octosetaceus,Brazilian merganser,Mergus_octosetaceus__Brazilian_merganser__HLmerOcto1A__GCA_036873955.1,GCA_036873955.1,Chromosome,10800487,83836255,
Meriones psammophilus,Rodents,Meriones_psammophilus__Rodents__HLmerPsa1__GCA_036365155.1,GCA_036365155.1,Scaffold,27799564,27799564,13356.0
Meriones unguiculatus,Mongolian gerbil,Meriones_unguiculatus__Mongolian_gerbil__HLmerUng2__GCF_030254825.1,GCF_030254825.1,Chromosome,50173090,122584302,14763.0
Merops apiaster,European bee-eater,Merops_apiaster__European_bee-eater__HLmerApia1__GCA_045783135.1,GCA_045783135.1,Scaffold,130845,10431334,
Merops nubicus,carmine bee-eater,Merops_nubicus__carmine_bee-eater__HLmerNub1__GCA_009819595.1,GCA_009819595.1,Chromosome,12372304,49132790,
Mesembrinibis cayennensis,Green ibis,Mesembrinibis_cayennensis__Green_ibis__HLmesCay1__GCA_013399675.1,GCA_013399675.1,Scaffold,85098,482795,
Mesitornis unicolor,brown roatelo,Mesitornis_unicolor__brown_roatelo__mesUni1__GCF_000695765.1,GCF_000695765.1,Scaffold,22740,47102,
Mesoclemmys tuberculata,Tuberculate toadhead turtle,Mesoclemmys_tuberculata__Tuberculate_toadhead_turtle__HLmesTub1__GCA_007922155.1,GCA_007922155.1,Scaffold,146430,46415247,
Mesocricetus auratus,Golden hamster,Mesocricetus_auratus__Golden_hamster__HLmesAura4__GCA_056461545.1,GCA_056461545.1,Chromosome,35650180,114594012,14403.0
Mesoplodon bidens,Sowerbys beaked whale,Mesoplodon_bidens__Sowerbys_beaked_whale__HLmesBid2B__GCA_964148845.1,GCA_964148845.1,Chromosome,3262972,109547138,14088.0
Mesoplodon densirostris,Blainvilles beaked whale,Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1,GCA_025265405.1,Chromosome,48253041,125805690,14607.0
Mesoplodon europaeus,Gervais beaked whale,Mesoplodon_europaeus__Gervais_beaked_whale__HLmesEur1,DNA Zoo Consortium,,44561,90973712,13259.0
Mesoplodon mirus,Trues beaked whale,Mesoplodon_mirus__Trues_beaked_whale__HLmesMir1A__GCA_964341445.1,GCA_964341445.1,Chromosome,3298322,115717908,14587.0
Mesoplodon stejnegeri,Stejnegers beaked whale,Mesoplodon_stejnegeri__Stejnegers_beaked_whale__HLmesSte1,DNA Zoo Consortium,,31904,89064517,13096.0
Microcebus griseorufus,Reddish-gray mouse lemur,Microcebus_griseorufus__Reddish-gray_mouse_lemur__HLmicGri1__GCA_008750995.1,GCA_008750995.1,Scaffold,16653,16816,9097.0
Microcebus lehilahytsara,Mittermeiers mouse lemur,Microcebus_lehilahytsara__Mittermeiers_mouse_lemur__HLmicMit1__GCA_008750955.1,GCA_008750955.1,Scaffold,15314,15314,8969.0
Microcebus murinus,gray mouse lemur,Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2,GCF_000165445.2,Chromosome,210702,108171978,14087.0
Microcebus ravelobensis,Golden brown mouse lemur,Microcebus_ravelobensis__Golden_brown_mouse_lemur__HLmicRav1__GCA_008750975.1,GCA_008750975.1,Scaffold,21473,21495,10758.0
Microcebus sp. 3 GT-2019,unclassified mouse lemur,Microcebus_sp._3_GT-2019__unclassified_mouse_lemur__HLmicSpe31__GCA_008750915.1,GCA_008750915.1,Scaffold,38130,38968,11256.0
Microcebus tavaratra,Northern rufous mouse lemur,Microcebus_tavaratra__Northern_rufous_mouse_lemur__HLmicTav1__GCA_008750935.1,GCA_008750935.1,Scaffold,29527,30039,10561.0
Micromys minutus,European harvest mouse,Micromys_minutus__European_harvest_mouse__HLmicMin1__GCA_963924665.1,GCA_963924665.1,Chromosome,1835000,59776753,14401.0
Micronycteris hirsuta,hairy big-eared bat,Micronycteris_hirsuta__hairy_big-eared_bat__HLmicHir1__GCA_004026765.1,GCA_004026765.1,Scaffold,62961,68868,12549.0
Micronycteris microtis,Common big-eared bat,Micronycteris_microtis__Common_big-eared_bat__HLmicMicr1B__GCA_051107335.1,GCA_051107335.1,Chromosome,58593296,147818333,14353.0
Microtus agrestis,short-tailed field vole,Microtus_agrestis__short-tailed_field_vole__HLmicAgr2__GCA_902806775.1,GCA_902806775.1,Contig,2938971,2938971,14341.0
Microtus arvalis,Common vole,Microtus_arvalis__Common_vole__HLmicArv1__GCA_007455615.1,GCA_007455615.1,Scaffold,34797,52876,13493.0
Microtus californicus,California vole,Microtus_californicus__California_vole__HLmicCal1A__GCA_028537955.1,GCA_028537955.1,Scaffold,49752295,83674487,14875.0
Microtus obscurus,Altai voie,Microtus_obscurus__Altai_voie__HLmicObs1__GCA_044665705.1,GCA_044665705.1,Scaffold,49201,186607134,13853.0
Microtus ochrogaster,prairie vole,Microtus_ochrogaster__prairie_vole__micOch1__GCF_000317375.1,GCF_000317375.1,Chromosome,21250,17270019,14586.0
Microtus oregoni,creeping vole,Microtus_oregoni__creeping_vole__HLmicOre1__GCF_018167655.1,GCF_018167655.1,Contig,34833828,34833828,14886.0
Microtus pennsylvanicus,Meadow vole,Microtus_pennsylvanicus__Meadow_vole__HLmicPen1A__GCA_037038515.1,GCA_037038515.1,Chromosome,47175454,125308425,14900.0
Microtus richardsoni arvicoloides,water vole,Microtus_richardsoni_arvicoloides__water_vole__HLmicRicArv1__GCA_020387435.1,GCA_020387435.1,Scaffold,38579,2298463,13834.0
Miniopterus natalensis,Natal long-fingered bat,Miniopterus_natalensis__Natal_long-fingered_bat__HLminNat1__GCA_001595765.1,GCA_001595765.1,Scaffold,29777,4315193,13630.0
Miniopterus schreibersii,Schreibers long-fingered bat,Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSchr3A__GCA_964146895.2,GCA_964146895.2,Chromosome,28014000,87795433,14960.0
Mionectes macconnelli,McConnells flycatcher,Mionectes_macconnelli__McConnells_flycatcher__HLmioMac1__GCA_013397495.1,GCA_013397495.1,Scaffold,72805,1646422,
Miopithecus talapoin,talapoin,Miopithecus_talapoin__talapoin__HLmioTal1,DNA Zoo Consortium,,75535,99916881,14441.0
Mirounga angustirostris,Northern elephant seal,Mirounga_angustirostris__Northern_elephant_seal__HLmirAng2,DNA Zoo Consortium,,75715,139676048,14393.0
Mirounga leonina,Southern elephant seal,Mirounga_leonina__Southern_elephant_seal__HLmirLeo1__GCA_011800145.1,GCA_011800145.1,Scaffold,197908,54232831,14775.0
Mirza coquereli,Coquerels mouse lemur,Mirza_coquereli__Coquerels_mouse_lemur__HLmirCoq1__GCA_004024645.1,GCA_004024645.1,Scaffold,60596,79947,13615.0
Mirza zaza,Northern giant mouse lemur,Mirza_zaza__Northern_giant_mouse_lemur__HLmirZaz1__GCA_008750895.1,GCA_008750895.1,Scaffold,73499,75843,12277.0
Mixornis gularis,Striped tit-babbler,Mixornis_gularis__Striped_tit-babbler__HLmixGul1__GCA_003546035.1,GCA_003546035.1,Scaffold,71550,2810030,
Mogera wogura,Japanese mole,Mogera_wogura__Japanese_mole__HLmogWogu2__GCA_054767415.1,GCA_054767415.1,Scaffold,105512,40941171,13354.0
Mohoua ochrocephala,Yellowhead,Mohoua_ochrocephala__Yellowhead__HLmohOch1__GCA_013398855.1,GCA_013398855.1,Scaffold,54215,206785,
Molossus alvarezi,Alvarezs mastiff bat,Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv2B__GCA_037176705.1,GCA_037176705.1,Chromosome,69284146,113334338,14949.0
Molossus molossus,Pallass mastiff bat,Molossus_molossus__Pallass_mastiff_bat__HLmolMol2__GCA_014108415.1,GCA_014108415.1,,21658165,110665204,14822.0
Molossus nigricans,Northern black mastiff bat,Molossus_nigricans__Northern_black_mastiff_bat__HLmolNig2A__GCA_039880945.1,GCA_039880945.1,Chromosome,74731956,114338547,14927.0
Molothrus aeneus,Bronzed cowbird,Molothrus_aeneus__Bronzed_cowbird__HLmolAen1__GCA_037042795.1,GCA_037042795.1,Chromosome,25845000,70606200,
Molothrus ater,brown-headed cowbird,Molothrus_ater__brown-headed_cowbird__HLmolAte3__GCA_012460135.3,GCA_012460135.3,Chromosome,13273966,70107701,
Monachus monachus,Mediterranean monk seal,Monachus_monachus__Mediterranean_monk_seal__HLmonMona1__GCA_976986665.1,GCA_976986665.1,Chromosome,90875510,157001452,15004.0
Monarcha castaneiventris obscurior,Makira monarch,Monarcha_castaneiventris_obscurior__Makira_monarch__HLmonCastObs1__GCA_026261815.1,GCA_026261815.1,Scaffold,18573903,20161131,
Monodelphis domestica,gray short-tailed opossum,Monodelphis_domestica__gray_short-tailed_opossum__HLmonDom6__GCF_027887165.1,GCF_027887165.1,Chromosome,3910714,538302405,
Monodon monoceros,narwhal,Monodon_monoceros__narwhal__HLmonMon1__GCA_005190385.2,GCA_005190385.2,Scaffold,255327,107566389,14446.0
Montemys delectorum,delectable soft-furred mouse,Montemys_delectorum__delectable_soft-furred_mouse__HLpraDel1__GCA_019843815.1,GCA_019843815.1,Scaffold,13907,22327,10658.0
Montifringilla adamsi,black-winged snowfinch,Montifringilla_adamsi__black-winged_snowfinch__HLmonAda1__GCA_017590115.1,GCA_017590115.1,Scaffold,466425,10057884,
Mops condylurus,Angolan free-tailed bat,Mops_condylurus__Angolan_free-tailed_bat__HLmopCon1__GCA_043748645.1,GCA_043748645.1,,56964224,105478936,14765.0
Mormoops blainvillei,Antillean ghost-faced bat,Mormoops_blainvillei__Antillean_ghost-faced_bat__HLmorBla1__GCA_004026545.1,GCA_004026545.1,Scaffold,142682,156292,13560.0
Morphnus guianensis,Crested eagle,Morphnus_guianensis__Crested_eagle__HLmorGuia1__GCA_045345515.1,GCA_045345515.1,Chromosome,26372894,61450600,
Morus bassanus,Northern gannet,Morus_bassanus__Northern_gannet__HLmorBass1B__GCA_031468815.1,GCA_031468815.1,Chromosome,10178591,85624757,
Moschus berezovskii,Chinese forest musk deer,Moschus_berezovskii__Chinese_forest_musk_deer__HLmosBere4__GCA_049115385.1,GCA_049115385.1,Chromosome,91326797,111330059,14942.0
Moschus chrysogaster,alpine musk deer,Moschus_chrysogaster__alpine_musk_deer__HLmosChr1__GCA_006461725.1,GCA_006461725.1,Scaffold,3769,100428,8289.0
Moschus moschiferus,Siberian musk deer,Moschus_moschiferus__Siberian_musk_deer__HLmosMos1__GCA_004024705.2,GCA_004024705.2,Scaffold,34785,11728851,14945.0
Motacilla alba alba,white wagtail,Motacilla_alba_alba__white_wagtail__HLmotAlbAlb2__GCA_015832195.1,GCA_015832195.1,Chromosome,8515530,72386170,
Motacilla citreola,Citrine wagtail,Motacilla_citreola__Citrine_wagtail__HLmotCitr1__GCA_045787205.1,GCA_045787205.1,Scaffold,174891,23307826,
Motacilla tschutschensis,eastern yellow wagtail,Motacilla_tschutschensis__eastern_yellow_wagtail__HLmotTsc1__GCA_018904545.1,GCA_018904545.1,Scaffold,98155,5483466,
Mungos mungo,banded mongoose,Mungos_mungo__banded_mongoose__HLmunMug1__GCA_004023785.1,GCA_004023785.1,Scaffold,180702,236501,14463.0
Muntiacus crinifrons,black muntjac,Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1,GCA_020276665.1,Chromosome,25225000,646574120,14827.0
Muntiacus gongshanensis,Gongshanensis muntjac,Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1,GCA_020226025.1,Scaffold,24226309,24473636,13853.0
Muntiacus muntjak,muntjak,Muntiacus_muntjak__muntjak__HLmunMun1__GCA_008782695.1,GCA_008782695.1,Chromosome,215534,682452208,14720.0
Muntiacus reevesi,Reeves muntjac,Muntiacus_reevesi__Reeves_muntjac__HLmunRee3__GCF_963930625.1,GCF_963930625.1,Chromosome,5780196,114544513,15022.0
Muntiacus vaginalis,Northern red muntjac,Muntiacus_vaginalis__Northern_red_muntjac__HLmunVag1__GCA_039877825.1,GCA_039877825.1,Chromosome,29270234,700271098,14886.0
Murina feae,Little tube-nosed bat,Murina_feae__Little_tube-nosed_bat__HLmurAurFea1__GCA_004026665.1,GCA_004026665.1,Scaffold,23400,26051,12647.0
Mus caroli,Ryukyu mouse,Mus_caroli__Ryukyu_mouse__HLmusCar1__GCA_900094665.2,GCA_900094665.2,Chromosome,30916,122627250,14641.0
Mus minutoides,Southern African pygmy mouse,Mus_minutoides__Southern_African_pygmy_mouse__HLmusMin1__GCA_902729475.2,GCA_902729475.2,Scaffold,74168,6564238,14580.0
Mus musculus,House mouse,Mus_musculus__House_mouse__HLmusMusc41__GCA_949316315.1,GCA_949316315.1,Chromosome,39533248,132150484,14882.0
Mus musculus molossinus,Japanese wild mouse,Mus_musculus_molossinus__Japanese_wild_mouse__HLmusMusMol40__GCA_921999095.1,GCA_921999095.1,Scaffold,14436447,132291597,14896.0
Mus pahari,shrew mouse,Mus_pahari__shrew_mouse__HLmusPah1__GCA_900095145.2,GCA_900095145.2,Chromosome,29465,111406228,14667.0
